Country,Year,Income_per_Person,Total_GDP,Life_expectancy,Population,Health Expenditure per Capita,Total Health Expenditure
Albania,2002,7167.76815191,22464444822.99,75.89,3051010.0,76.6249380453,233783452.22559077
Andorra,2002,52897.5475643,3518004298.35,,66506.0,1441.58671875,95874166.3171875
Austria,2002,52321.1182161,422840460000.0,78.6780487804878,8081957.0,2423.06,19583066728.42
Belarus,2002,11944.332262,117931630000.0,68.0560975609756,9865548.0,81.48,803844851.0400001
Belgium,2002,49069.8948074,507037430000.0,78.0756097560976,10332785.0,2022.178371579,20894734345.17592
Bosnia and Herzegovina,2002,8207.27125248,34372068421.48,74.612,4188002.0,115.43,483421070.86
Bulgaria,2002,13617.828739,107062780000.0,71.8658536585366,7837161.0,143.56,1125102833.16
Croatia,2002,22462.7876682,96719866798.45,74.7173170731707,4302174.0,374.42,1610819989.0800002
Cyprus,2002,36150.6826597,35479725987.0,77.487,981440.0,863.3,847277152.0
Czechia,2002,28974.0849499,296679350000.0,75.2219512195122,10196916.0,482.8097738627,4923170708.056947
Denmark,2002,55109.3372575,296265160000.0,76.8951219512195,5375931.0,2809.12,15101635290.72
Estonia,2002,22694.2738517,31305275647.53,70.9048780487805,1379350.0,242.9658030695,335134880.4639148
Finland,2002,46509.631877,241875320000.0,78.119512195122,5200598.0,1997.23,10386790343.54
France,2002,45792.9934035,2762569700000.0,79.2609756097561,61812142.0,2376.2655517566,146882063714.8873
Germany,2002,47528.7064856,3900602800000.0,78.2292682926829,82488495.0,2490.4778417993,205435769000.8724
Greece,2002,32697.2681927,356082150000.0,78.6414634146341,10902022.0,1133.7593737796,12360269635.65142
Hungary,2002,22773.4868065,230888130000.0,72.3487804878049,10158608.0,458.81,4660870936.4800005
Iceland,2002,46293.1633693,13314237837.33,80.5024390243903,287523.0,2953.65,849242308.95
Ireland,2002,54371.3211383,213594970000.0,77.6341463414634,3931947.0,2134.3466992236,8392138100.972136
Italy,2002,48336.3829899,2775509500000.0,80.2292682926829,57059007.0,1710.11,97577178460.77
Latvia,2002,16675.4103008,38542726273.38,70.9609756097561,2310173.0,229.89,531085670.97
Lithuania,2002,17704.6751086,60975786318.6,71.7609756097561,3443067.0,246.38,848302847.46
Luxembourg,2002,107576.31352,48020882999.56,77.9658536585366,446175.0,3492.97,1558475889.75
North Macedonia,2002,11239.7996213,23316784470.95,73.0390243902439,2020157.0,168.78,340962098.46
Moldova,2002,6005.7526894600005,24881412988.25,66.938,2911385.0,32.98,96017477.3
Monaco,2002,146786.145116,4759100397.9,,32422.0,3262.4538574243,105775278.96541066
Netherlands,2002,53397.3981576,869739830000.0,78.2926829268293,16148929.0,2468.65,39866053575.85
Norway,2002,75791.9902183,343945510000.0,78.9878048780488,4538159.0,3773.3,17123835354.7
Poland,2002,18296.1181459,699449540000.0,74.4975609756098,38230364.0,306.52,11718371173.28
Portugal,2002,33457.5118134,348394900000.0,77.0658536585366,10419631.0,1104.83,11511920917.73
Romania,2002,15636.8987643,340415680000.0,71.009756097561,21730496.0,94.09,2044622368.64
Russian Federation,2002,20716.55869,3023363900000.0,65.1287804878049,145306497.0,135.79999999999998,19732622292.6
San Marino,2002,80500.2393071,2213032078.9,,27491.0,2148.2298242236,59056986.09773098
Serbia,2002,10758.1437157,81942015845.15,72.2853658536585,7500031.0,168.06549530339998,1260496424.8058543
Slovakia,2002,18805.2455476,101128320000.0,73.6048780487805,5376912.0,246.38,1324763578.56
Slovenia,2002,30699.2602333,61139787103.38,76.0073170731707,1994530.0,916.65,1828285924.5
Spain,2002,39088.275173,1632160800000.0,79.5682926829268,41431558.0,1139.341965329,47204712718.36245
Sweden,2002,46529.3834923,415277370000.0,79.8463414634146,8924958.0,2385.23,21288077570.34
Switzerland,2002,63934.75302439999,465365260000.0,80.3853658536585,7284753.0,4085.3776074243,29760966781.816998
Ukraine,2002,11145.9687762,542555920000.0,68.2756097560976,48677281.0,51.41,2502499016.21
United Kingdom,2002,44017.7887987,2620852700000.0,78.1439024390244,59370479.0,2236.9445654309,132808470346.0794
