Country,Year,Income_per_Person,Total_GDP,Life_expectancy,Population,Health Expenditure per Capita,Total Health Expenditure
Albania,2010,11617.0318259,34023056676.17,77.936,2913021.0,247.6586457841,721434836.0006448
Andorra,2010,63799.35700999999,5148990906.559999,,80706.0,3587.8440991217,289560545.8637159
Austria,2010,59262.2274448,495734020000.0,80.5804878048781,8363404.0,4656.97,38948121525.880005
Belarus,2010,23316.520015,221290950000.0,70.4048780487805,9483836.0,323.01,3063373866.36
Belgium,2010,55391.6146877,605797010000.0,80.1829268292683,10895586.0,4395.1026806677,47887219236.04546
Bosnia and Herzegovina,2010,11942.2624566,45517598968.17,77.073,3811472.0,393.82,1501033903.04
Bulgaria,2010,21245.2263537,158013000000.0,73.5121951219512,7395599.0,470.45,3479259549.55
Croatia,2010,27776.6443066,119471020000.0,76.4756097560976,4295427.0,1092.22,4691551277.940001
Cyprus,2010,41600.5339868,46917747835.94,79.665,1127816.0,1983.65,2237192208.4
Czechia,2010,38595.5511212,403865320000.0,77.4243902439025,10474410.0,1470.5671264606,15403323015.070175
Denmark,2010,58586.7916419,325031480000.0,79.1,5547683.0,5985.87,33207709239.21
Estonia,2010,29349.9436151,39077923726.82,75.4292682926829,1331475.0,937.2045391826,1247864413.8081524
Finland,2010,52895.7006455,283697840000.0,79.8707317073171,5363352.0,4124.44,22120823522.88
France,2010,48971.22456439999,3105629600000.0,81.6634146341463,65026211.0,4454.6118017566005,289666526944.11487
Germany,2010,52884.142368,4274673600000.0,79.9878048780488,81776930.0,4473.07921875,365794686156.1735
Greece,2010,36418.5781424,405144750000.0,80.3878048780488,11121341.0,2487.4383032269,27663649586.64776
Hungary,2010,27311.3558803,272543810000.0,74.2073170731707,10000023.0,953.51,9535121930.73
Iceland,2010,53199.0395014,16925700008.99,81.8975609756097,318041.0,3503.64,1114301169.24
Ireland,2010,56512.0773144,257642670000.0,80.7439024390244,4560155.0,4979.4514257861,22707070316.55561
Italy,2010,48521.9141139,2919282900000.0,82.0365853658537,59277417.0,3121.46,185032086068.82
Latvia,2010,23727.9474162,49777223654.49,73.4829268292683,2097555.0,668.3299999999999,1401858933.15
Lithuania,2010,27334.1087047,84673415212.06999,73.2682926829268,3097282.0,780.85,2418512649.7000003
Luxembourg,2010,129105.102195,65509219893.77,80.6317073170732,506953.0,7236.2,3668413298.6
North Macedonia,2010,16395.7455559,33635953977.58,74.9975609756098,1946298.0,292.94,570148536.12
Moldova,2010,9360.45246321,33997088462.79,69.357,2862354.0,192.06,549743709.24
Monaco,2010,175987.317668,5836267416.04,,33163.0,7772.6545214868,257764541.8960668
Netherlands,2010,59590.7376649,999410400000.0,80.7024390243902,16615394.0,5036.24,83679111878.56
Norway,2010,80963.2880422,395842450000.0,80.9975609756098,4889252.0,7624.2,37276635098.4
Poland,2010,26611.6462736,1013776100000.0,76.2463414634146,38042794.0,784.73,29853321735.62
Portugal,2010,35563.5507001,376214500000.0,79.0268292682927,10573100.0,2191.23,23168093913.0
Romania,2010,24297.2439858,496455700000.0,73.4585365853659,20246871.0,457.84,9269827418.64
Russian Federation,2010,32397.9280066,4663178000000.0,68.8412195121951,142849468.0,549.99,78565778905.32
San Marino,2010,73624.6485441,2254681236.62,,33270.0,3584.2958789111,119249523.8913723
Serbia,2010,15999.1864117,118327390000.0,74.3365853658537,7291436.0,528.9737872319,3856978515.279016
Slovakia,2010,28900.7331813,155828560000.0,75.1121951219512,5391428.0,1258.09,6782901652.52
Slovenia,2010,37510.8172999,76695067186.78,79.4219512195122,2048583.0,1956.49,4008032153.67
Spain,2010,41206.9542073,1930154500000.0,81.6268292682927,46576897.0,2705.9480908191,126034665513.42786
Sweden,2010,54244.7740556,508720380000.0,81.4512195121951,9378126.0,4283.52,40171390283.52
Switzerland,2010,72712.47081639999,569030130000.0,82.2463414634147,7824909.0,7411.235742187499,57992245260.16464
Ukraine,2010,16515.5022894,767243810000.0,70.2653658536586,46456003.0,196.91,9147651550.73
United Kingdom,2010,47258.9778387,2977618700000.0,80.4024390243902,62766365.0,3837.6972485394,240878306261.3197
